"site","date","count","treatment"
"M-5",2024-04-01,43,"mine"
"M-5",2024-04-02,25,"mine"
"M-5",2024-04-03,28,"mine"
"M-5",2024-04-04,0,"mine"
"M-5",2024-04-05,0,"mine"
"M-5",2024-04-06,0,"mine"
"M-5",2024-04-07,10,"mine"
"M-5",2024-04-08,11,"mine"
"M-5",2024-04-09,8,"mine"
"M-5",2024-04-10,3,"mine"
"M-5",2024-04-11,0,"mine"
"M-5",2024-04-12,0,"mine"
"M-5",2024-04-13,2,"mine"
"M-5",2024-04-14,2,"mine"
"M-5",2024-04-15,84,"mine"
"M-5",2024-04-16,29,"mine"
"M-5",2024-04-17,60,"mine"
"M-5",2024-04-18,57,"mine"
"M-5",2024-04-19,173,"mine"
"M-5",2024-04-20,99,"mine"
"M-5",2024-04-21,4,"mine"
"M-5",2024-04-22,27,"mine"
"M-5",2024-04-23,118,"mine"
"M-5",2024-04-24,171,"mine"
"M-5",2024-04-25,138,"mine"
"M-5",2024-04-26,31,"mine"
"M-5",2024-04-27,63,"mine"
"M-5",2024-04-28,97,"mine"
"M-5",2024-04-29,142,"mine"
"M-5",2024-04-30,147,"mine"
"M-5",2024-05-01,73,"mine"
"M-5",2024-05-02,143,"mine"
"M-5",2024-05-03,186,"mine"
"M-5",2024-05-04,161,"mine"
"M-5",2024-05-05,256,"mine"
"M-5",2024-05-06,150,"mine"
"M-5",2024-05-07,74,"mine"
"M-5",2024-05-08,86,"mine"
"M-5",2024-05-09,114,"mine"
"M-5",2024-05-10,23,"mine"
"M-5",2024-05-11,20,"mine"
"M-5",2024-05-12,387,"mine"
"M-5",2024-05-13,13,"mine"
"M-5",2024-05-14,41,"mine"
"M-5",2024-05-15,107,"mine"
"M-5",2024-05-16,203,"mine"
"M-5",2024-05-17,281,"mine"
"M-5",2024-05-18,104,"mine"
"M-5",2024-05-19,40,"mine"
"M-5",2024-05-20,86,"mine"
"M-5",2024-05-21,132,"mine"
"M-5",2024-05-22,283,"mine"
"M-5",2024-05-23,148,"mine"
"M-5",2024-05-24,151,"mine"
"M-5",2024-05-25,158,"mine"
"M-5",2024-05-26,242,"mine"
"M-5",2024-05-27,244,"mine"
"M-5",2024-05-28,122,"mine"
"M-5",2024-05-29,181,"mine"
"M-5",2024-05-30,101,"mine"
